address,token_symbol,decimal
0x2b5C21578594F7988C7c80D258d0C927C756a848,NGN,10
0x6be61833FC4381990e82D7D4a9F4c9B3F67eA941,HTB,18
0x35040F79a34088C3d7B7B9D17e2dFe2196b165c0,UNI-V2,18
0xD1BeaD7CadcCC6b6a715A6272c39F1EC54F6EC99,mooConvexTriCryptoUSDC,18
0xba0Dda8762C24dA9487f5FA026a9B64b695A07Ea,OX,18
0x05AD6d7dB640F4382184e2d82dD76b4581F8F8f4,kmSUSHI/DAI-LINK,18
0x26946adA5eCb57f3A1F91605050Ce45c482C9Eb1,BSOV,8
0x016ee7373248a80BDe1fD6bAA001311d233b3CFa,BEAR,18
0x44FD6aB1569fe7a4d283690825600EC132FaDE14,INU,9
0x9d4D981d8a9066f5db8532A5816543dE8819d4A8,rETH-f-gauge,18
